Result Number,Landsat Product Identifier,Landsat Scene Identifier,Acquisition Date,Spacecraft Identifier,Scan Line Corrector,Collection Category,Collection Number,Sensor Mode,WRS Path,WRS Row,Date L-1 Generated,Start Time,Stop Time,Station Identifier,Day/Night Indicator,Land Cloud Cover,Scene Cloud Cover,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model (meters),Geometric RMSE Model X,Geometric RMSE Model Y,Image Quality,Gain Change,Processing Software Version,Full Partial Scene,Sun Elevation L-1,Sun Azimuth L-1,Gap Phase Source,Gap Phase Statistic,Data Type Level-1,Sensor Identifier,Ephemeris Type,Panchromatic Lines,Panchromatic Samples,Reflective Lines,Reflective Samples,Thermal Lines,Thermal Samples,Map Projection Level-1,UTM Zone,Datum,Ellipsoid,Grid Cell Size Panchromatic,Grid Cell Size Reflective,Grid Cell Size Thermal,Calibration Parameter File,Scan Gap Interpolation,Center Latitude,Center Longitude,UL Corner Lat,UL Corner Long,UR Corner Lat,UR Corner Long,LL Corner Lat,LL Corner Long,LR Corner Lat,LR Corner Long,Center Latitude dec,Center Longitude dec,UL Corner Lat dec,UL Corner Long dec,UR Corner Lat dec,UR Corner Long dec,LL Corner Lat dec,LL Corner Long dec,LR Corner Lat dec,LR Corner Long dec,Display ID,Ordering ID,Browse Link
1,LE07_L1TP_116026_20021231_20170127_01_T1,LE71160262002365EDC00,2002/12/31,LANDSAT_7,ON,T1,1,, 116, 026,2017/01/27,2002:365:01:55:59.2813124,2002:365:01:56:26.3786875,EDC Sioux Falls  South Dakota  USA (aka LGS),Day,23,23,93,4,9.56,7.944,5.319,9,N,LPGS_12.8.3,FULL,15.59042324,159.91451783,,,ETM_L1TP,ETM,DEFINITIVE,14601,15941,7301,7971,7301,7971,UTM,52,WGS84,WGS84,15,30,30,LE07CPF_20021001_20021231_01.02,-1,48°52'04.80"N,130°33'46.80"E,49°51'09.00"N,129°35'37.32"E,49°28'20.64"N,132°11'06.72"E,48°14'25.80"N,128°58'40.80"E,47°52'20.64"N,131°29'26.16"E,48.868,130.563,49.8525,129.5937,49.4724,132.1852,48.2405,128.978,47.8724,131.4906,LE07_L1TP_116026_20021231_20170127_01_T1,LE71160262002365EDC00,https://earthexplorer.usgs.gov/browse-link/12267/LE71160262002365EDC00
2,LE07_L1TP_116027_20021231_20170127_01_T1,LE71160272002365EDC00,2002/12/31,LANDSAT_7,ON,T1,1,, 116, 027,2017/01/27,2002:365:01:56:23.1270624,2002:365:01:56:50.2245000,EDC Sioux Falls  South Dakota  USA (aka LGS),Day,5,5,38,4,4.576,3.228,3.244,9,N,LPGS_12.8.3,FULL,16.80956509,159.34237097,,,ETM_L1TP,ETM,DEFINITIVE,14601,15961,7301,7981,7301,7981,UTM,52,WGS84,WGS84,15,30,30,LE07CPF_20021001_20021231_01.02,-1,47°27'03.60"N,129°59'56.40"E,48°26'01.68"N,129°02'59.28"E,48°03'51.84"N,131°34'17.40"E,46°49'11.28"N,128°27'45.00"E,46°27'41.40"N,130°54'38.52"E,47.451,129.999,48.4338,129.0498,48.0644,131.5715,46.8198,128.4625,46.4615,130.9107,LE07_L1TP_116027_20021231_20170127_01_T1,LE71160272002365EDC00,https://earthexplorer.usgs.gov/browse-link/12267/LE71160272002365EDC00
3,LE07_L1TP_116028_20021231_20170127_01_T1,LE71160282002365EDC00,2002/12/31,LANDSAT_7,ON,T1,1,, 116, 028,2017/01/27,2002:365:01:56:47.0450624,2002:365:01:57:14.1425625,EDC Sioux Falls  South Dakota  USA (aka LGS),Day,3,3,47,4,4.273,2.708,3.305,9,N,LPGS_12.8.3,FULL,18.02935146,158.77382938,,,ETM_L1TP,ETM,DEFINITIVE,14621,15981,7311,7991,7311,7991,UTM,52,WGS84,WGS84,15,30,30,LE07CPF_20021001_20021231_01.02,-1,46°01'51.60"N,129°27'31.68"E,47°00'32.04"N,128°31'46.20"E,46°38'57.84"N,130°59'09.60"E,45°23'33.72"N,127°57'52.56"E,45°02'36.60"N,130°21'09.36"E,46.031,129.4588,47.0089,128.5295,46.6494,130.986,45.3927,127.9646,45.0435,130.3526,LE07_L1TP_116028_20021231_20170127_01_T1,LE71160282002365EDC00,https://earthexplorer.usgs.gov/browse-link/12267/LE71160282002365EDC00
4,LE07_L1TP_116029_20021231_20170127_01_T1,LE71160292002365EDC00,2002/12/31,LANDSAT_7,ON,T1,1,, 116, 029,2017/01/27,2002:365:01:57:10.8908125,2002:365:01:57:37.9883124,EDC Sioux Falls  South Dakota  USA (aka LGS),Day,5,5,101,4,5.091,3.381,3.806,9,N,LPGS_12.8.3,FULL,19.24226269,158.20963271,,,ETM_L1TP,ETM,DEFINITIVE,14621,15981,7311,7991,7311,7991,UTM,52,WGS84,WGS84,15,30,30,LE07CPF_20021001_20021231_01.02,-1,44°36'36.00"N,128°56'26.16"E,45°35'11.76"N,128°01'49.80"E,45°14'10.32"N,130°25'35.04"E,43°58'06.60"N,127°29'13.92"E,43°37'40.08"N,129°49'09.48"E,44.61,128.9406,45.5866,128.0305,45.2362,130.4264,43.9685,127.4872,43.6278,129.8193,LE07_L1TP_116029_20021231_20170127_01_T1,LE71160292002365EDC00,https://earthexplorer.usgs.gov/browse-link/12267/LE71160292002365EDC00
5,LE07_L1TP_116030_20021231_20170127_01_T1,LE71160302002365EDC00,2002/12/31,LANDSAT_7,ON,T1,1,, 116, 030,2017/01/27,2002:365:01:57:34.8089374,2002:365:01:58:01.9063125,EDC Sioux Falls  South Dakota  USA (aka LGS),Day,4,4,102,4,5.408,4.161,3.455,9,N,LPGS_12.8.3,FULL,20.45519068,157.6435374,,,ETM_L1TP,ETM,DEFINITIVE,14641,16041,7321,8021,7321,8021,UTM,52,WGS84,WGS84,15,30,30,LE07CPF_20021001_20021231_01.02,-1,43°11'09.60"N,128°26'33.36"E,44°09'29.16"N,127°32'58.56"E,43°48'58.68"N,129°53'20.04"E,42°32'18.24"N,127°01'30.36"E,42°12'20.16"N,129°18'17.28"E,43.186,128.4426,44.1581,127.5496,43.8163,129.8889,42.5384,127.0251,42.2056,129.3048,LE07_L1TP_116030_20021231_20170127_01_T1,LE71160302002365EDC00,https://earthexplorer.usgs.gov/browse-link/12267/LE71160302002365EDC00
6,LE07_L1TP_116031_20021231_20170127_01_T1,LE71160312002365EDC00,2002/12/31,LANDSAT_7,ON,T1,1,, 116, 031,2017/01/27,2002:365:01:57:58.6546875,2002:365:01:58:25.7521250,EDC Sioux Falls  South Dakota  USA (aka LGS),Day,3,3,90,4,4.726,3.266,3.416,9,N,LPGS_12.8.3,FULL,21.66105354,157.07726289,,,ETM_L1TP,ETM,DEFINITIVE,14661,16041,7331,8021,7331,8021,UTM,52,WGS84,WGS84,15,30,30,LE07CPF_20021001_20021231_01.02,-1,41°45'39.60"N,127°57'43.92"E,42°43'57.72"N,127°05'12.84"E,42°23'55.68"N,129°22'24.60"E,41°06'39.96"N,126°34'47.64"E,40°47'07.80"N,128°48'39.24"E,41.761,127.9622,42.7327,127.0869,42.3988,129.3735,41.1111,126.5799,40.7855,128.8109,LE07_L1TP_116031_20021231_20170127_01_T1,LE71160312002365EDC00,https://earthexplorer.usgs.gov/browse-link/12267/LE71160312002365EDC00
7,LE07_L1TP_116032_20021231_20170127_01_T1,LE71160322002365EDC00,2002/12/31,LANDSAT_7,ON,T1,1,, 116, 032,2017/01/27,2002:365:01:58:22.5726875,2002:365:01:58:49.6701874,EDC Sioux Falls  South Dakota  USA (aka LGS),Day,4,3,50,4,6.667,3.449,5.706,9,N,LPGS_12.8.3,FULL,22.8659607,156.50427426,,,ETM_L1TP,ETM,DEFINITIVE,14641,16021,7321,8011,7321,8011,UTM,52,WGS84,WGS84,15,30,30,LE07CPF_20021001_20021231_01.02,-1,40°20'02.40"N,127°29'57.48"E,41°18'04.32"N,126°38'16.44"E,40°58'28.56"N,128°52'30.72"E,39°40'42.96"N,126°08'52.08"E,39°21'35.64"N,128°19'59.16"E,40.334,127.4993,41.3012,126.6379,40.9746,128.8752,39.6786,126.1478,39.3599,128.3331,LE07_L1TP_116032_20021231_20170127_01_T1,LE71160322002365EDC00,https://earthexplorer.usgs.gov/browse-link/12267/LE71160322002365EDC00
8,LE07_L1TP_116033_20021231_20170127_01_T1,LE71160332002365EDC00,2002/12/31,LANDSAT_7,ON,T1,1,, 116, 033,2017/01/27,2002:365:01:58:46.4907500,2002:365:01:59:13.5881875,EDC Sioux Falls  South Dakota  USA (aka LGS),Day,3,5,77,4,10.173,6.601,7.741,9,N,LPGS_12.8.3,FULL,24.06496696,155.92028952,,,ETM_L1TP,ETM,DEFINITIVE,14641,16081,7321,8041,7321,8041,UTM,52,WGS84,WGS84,15,30,30,LE07CPF_20021001_20021231_01.02,-1,38°54'18.00"N,127°03'00.72"E,39°52'08.04"N,126°12'14.76"E,39°32'57.48"N,128°23'43.44"E,38°14'39.84"N,125°43'39.36"E,37°55'54.84"N,127°52'13.08"E,38.905,127.0502,39.8689,126.2041,39.5493,128.3954,38.2444,125.7276,37.9319,127.8703,LE07_L1TP_116033_20021231_20170127_01_T1,LE71160332002365EDC00,https://earthexplorer.usgs.gov/browse-link/12267/LE71160332002365EDC00
9,LE07_L1TP_116034_20021231_20170127_01_T1,LE71160342002365EDC00,2002/12/31,LANDSAT_7,ON,T1,1,, 116, 034,2017/01/27,2002:365:01:59:10.3364999,2002:365:01:59:37.4340000,EDC Sioux Falls  South Dakota  USA (aka LGS),Day,6,12,184,4,3.758,2.667,2.648,9,N,LPGS_12.8.3,FULL,25.25677977,155.33368784,,,ETM_L1TP,ETM,DEFINITIVE,14641,16101,7321,8051,7321,8051,UTM,52,WGS84,WGS84,15,30,30,LE07CPF_20021001_20021231_01.02,-1,37°28'33.60"N,126°36'55.80"E,38°26'20.76"N,125°47'01.32"E,38°07'33.24"N,127°55'55.20"E,36°48'48.60"N,125°19'16.32"E,36°30'25.56"N,127°25'27.12"E,37.476,126.6155,38.4391,125.7837,38.1259,127.932,36.8135,125.3212,36.5071,127.4242,LE07_L1TP_116034_20021231_20170127_01_T1,LE71160342002365EDC00,https://earthexplorer.usgs.gov/browse-link/12267/LE71160342002365EDC00
10,LE07_L1TP_116035_20021231_20170128_01_T1,LE71160352002365EDC00,2002/12/31,LANDSAT_7,ON,T1,1,, 116, 035,2017/01/28,2002:365:01:59:34.2545624,2002:365:02:00:01.3521249,EDC Sioux Falls  South Dakota  USA (aka LGS),Day,12,28,131,4,4.964,3.426,3.592,9,N,LPGS_12.8.3,FULL,26.44675281,154.73308782,,,ETM_L1TP,ETM,DEFINITIVE,14661,16081,7331,8041,7331,8041,UTM,52,WGS84,WGS84,15,30,30,LE07CPF_20021001_20021231_01.02,-1,36°02'38.40"N,126°11'31.92"E,37°00'14.76"N,125°22'27.48"E,36°41'48.48"N,127°28'56.64"E,35°22'36.84"N,124°55'21.36"E,35°04'33.24"N,126°59'17.88"E,36.044,126.1922,37.0041,125.3743,36.6968,127.4824,35.3769,124.9226,35.0759,126.9883,LE07_L1TP_116035_20021231_20170128_01_T1,LE71160352002365EDC00,https://earthexplorer.usgs.gov/browse-link/12267/LE71160352002365EDC00
