input|output,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
01,46368195.58517013,305197.19109490473,64.02584013988763,77933.39280053825,17287.190926368596,48665195.474488765,11932996.097007232,2996521.912609894,4236527.89618265,1840938.4111876944,8397.865145025304,6630650.220752972,44796.7395160383,9545.877013295383,27273.92321182913,67282.97580103268,15859.017314148276,6839.090630905954,20702.911066585042,374.6689369279265,1853950.0329201475,0.0,19968.21903980093,38481.28132381179,14.834924314800883,22862989.629720263,1316764.2396588898,0.0,12512.465081100954,2484324.88447127,10209054.655991662,0.0,11709.336424513449,89456.0283812722,4910.49707038329,28186.48436790452,145463.06137336165,422618.0150533589,366920.38672562566,115484.83070363029,131962.748385531,0.0
02,887315.1181754225,1011978.5793263015,186661.80152320897,64060.44772990262,41815.969934608365,433335.55428778665,379975.60489404155,56634.00087070756,282643.3750326496,341611.0620907856,1896970.2675377864,2660560.110942848,2242823.358109981,3350655.9411176806,124863.28227284018,583675.7172698806,267568.74569346185,91710.38119502683,44961.950212127515,9148.889939715544,183504.17803177694,0.0,12939566.862148132,872007.4371914226,11633.303137583633,225014.52425831393,411018.51715420897,10261.798916428254,68708.22597084452,201242.42041269576,253875.2977247081,26722.20828863054,288074.63042570517,49544.62852355893,358.859277285095,42892.940736841076,73314.43640764852,576377.7676940794,722044.9042463085,132425.63983600118,16977.812055966533,252922.9704726002
03,9450.537855229471,9607.135599613752,322142.5450258878,30022.43141837185,63101.17120139766,27100.748060859143,73118.91143148064,0.0,0.0,24217.173834740828,34468004.72086953,3344049.923862826,115039.63998268341,391819.75681548135,87374.82761348535,113663.04255346324,55336.773958688784,14329.104462403775,3795.1484392160187,838.0813636195436,376.09718516860045,0.0,637150.9958878877,157838.87660152974,185.27697861045857,0.0,262018.2658894515,0.0,0.0,0.0,42183.52081424586,0.0,306.40420825810327,3558.925183387627,200.84523678948068,704.455728814175,1806.1329726722863,27585.51215260604,0.0,4364.56226605602,9935.993381103503,22409.16255495175
04,0.0,0.0,0.0,978692.7701381793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,785578.5727037912,109963.0951164141,13630663.064311743,1106312.5127142593,496134.61366112926,128733.34809629018,417549.7185441639,32278.20643759249,16489.610349411523,3012.2842960698526,0.0,40880.08602522924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48041.430516623026,32153.643636335553,0.0,0.0,0.020877864276691416,0.0,0.0
05,83658.96564145527,28956.904657647785,2654.114726994663,10269.340473831007,772669.8913306186,118081.44262306315,0.0,0.0,0.0,2514.7767364603715,0.0,2851811.318269833,3146199.114131944,1058754.2717012595,133153.8027758899,95878.83177811751,19671.379819706213,19141.355561557968,27483.24271445901,4522.804029057262,56114.456747194236,0.0,12304.645873812886,0.0,1950.5645137313188,6800809.584806802,94687.06859933864,0.0,0.0,0.0,0.0,0.0,22454.058898648796,0.0,0.0,1269.6859705382287,16240.47684124422,20195.445956964464,26768.65366143292,5882.684407418494,3381.1975921908447,11064.7179845405
06,15717459.667090544,3939.5086319245374,14028.162007894836,6181.968819083854,0.0,19517191.86496651,34968.54294597809,2434573.735374101,1748.8454770416324,13306.285860599106,0.0,1661306.378261038,1202.3941069958523,0.0,0.0,0.0,0.0,0.0,0.0,345.4334161520646,101611.65484853591,0.0,0.0,0.0,0.0,246055.83749721426,361044.2572605772,142.49148242901742,25144.672841699175,1972737.6918465022,16131765.459867403,9952.704996335484,887.784517397532,181321.50675916948,5850.910097616187,19481.69489026314,24663.32826229861,998064.9639486633,630613.772015464,116928.24104652947,1096574.8028114806,0.0
07,168425.55052801204,23448.34402389061,64795.990788903255,10781.530744003048,14732.366807058013,187456.0520165884,30506082.20123328,18930159.18803773,439733.13373315055,1174192.9268432814,6346.639174244354,729419.6997398584,287629.54907770327,53413.70977482897,169041.31942679893,660571.836135634,186105.74268945967,45169.452563109735,202693.74063437973,33301.87753051384,1744713.958376913,0.0,12003.56832042163,520.5521565833742,1266.747478432171,620091.022704755,148739.740904024,20116.681027510767,78357.27649742932,66122.53662821194,134846.5734172823,16885.912849243927,2679.760348204592,51366.046079625354,2645.1254661664702,59929.11281540818,11656.077908501707,3756708.6504382123,243737.65255392328,169471.46096781216,144184.8635575323,3550326.6678041383
08,45064.18583860707,129047.73814202454,125571.0572885072,71161.00836289667,78637.41342404445,101078.10909453558,253921.247613626,8387170.988767639,575411.3908435828,460543.35954237345,60328.89493069182,731267.9517951664,172464.23411155803,231093.76232914056,108444.60452510526,274445.2791109476,287932.73248024663,115866.11465764811,90809.47096999803,37651.8737734456,65714.47260599602,0.0,186799.16107651708,22479.01615480409,21001.988974749114,438787.99493515585,337354.3435886973,113559.14928807193,51295.254740517405,1578787.8487654014,278782.12461058516,255779.75804526496,41235.65737474291,153814.50488703142,9277.81458435582,3906.5069059711873,40695.56976500925,314297.85634632874,41989.53874326535,90684.56870146736,58528.73373139585,337197.9365146745
09,758143.1364142842,264975.57208030927,39489.20584504957,31868.928976557694,31734.437851820898,149564.69851802939,75440.18792712213,112317.68870528537,9390377.832953677,1037648.3166289546,24393.850813074,437726.8676882414,333636.1083145246,93105.49352496129,769425.3001342623,397589.8352943958,230915.07162036133,239725.81242796255,167252.5540038247,36188.45998987968,361264.71887439076,0.0,62391.23348079351,3829.129029651513,9944.278942794625,9070502.078112943,155709.88550937345,17196.232478103135,34167.537971693375,799549.471233103,169294.844052041,153202.40849871136,168713.36916466753,63684.30993448098,2027.5086483400946,29717.829635346734,70192.84556521065,1326700.328420335,1045588.3582036443,208356.05241121433,157938.1393355852,1924830.0483306472
10,496302.6521431561,58091.91049253552,71140.17491199414,46413.204783645706,76639.25291984667,3060660.3008490135,544974.5941179479,966788.4057050757,548168.4817564252,16584603.79860472,66433.70148724872,2873861.977481298,1764655.874800447,195814.74955042786,469930.3664026361,768184.7429975817,254431.6074475246,1753693.5110199102,1072909.604353697,185061.65037372752,1025922.6212408626,0.0,169107.3555703751,11192.906442571864,23895.92186987838,257979.9889723106,482354.4841287359,594206.9694668059,1661152.6980656064,6147860.677250165,232836.0117953824,1393947.3879476096,149776.45578501612,3745596.8724505836,32237.806712337715,76479.4100494111,201959.11391199817,1428201.5356905644,3215224.007944952,220096.6154710946,2048316.4105984827,4150774.133649416
11,2806036.7518676803,446716.4188628322,687906.0975888534,982680.0061089344,497088.58699841273,291692.8373891773,269474.6480926948,166911.456236565,337638.9021387758,378002.363932193,2565262.5342137427,7155799.368762772,1679872.0994144394,5372593.869303992,524511.5280955485,920168.3549904346,378689.6477852308,403144.31405307574,287771.45206724864,39865.516413422636,232498.67001583666,0.0,3297371.672780093,383826.1773491574,13733.991784456883,7124180.906342645,17854532.575812247,69972.13423981956,36412.59473214424,2309846.157397561,324209.45244779857,250784.28061138093,211569.49207199572,171627.99811258202,32362.896881124387,79878.94997074555,150706.78796827223,1055941.2657717783,243297.3248078587,105111.6953937583,151659.28228170116,819875.2209976421
12,19248702.059710078,918833.4776062038,480971.3091277082,723344.041262968,1454484.1028905103,4769906.934252459,9475822.930170298,4194686.327419175,3401465.4998254497,7623647.929044602,1076695.1940480852,80972315.41829601,3879190.7812559768,2358573.418906794,1935926.5683259778,6710090.444251932,5852494.674369424,8586721.658870302,7328757.090952086,1960201.6957341784,1566648.1897402105,0.0,525941.951031026,36823.93702404025,235041.81649625447,10542466.213935785,1336976.7864669021,35537.25847845452,295936.1380784017,3397233.218308799,590616.0627809055,333340.6792547131,115197.76793933449,243854.56815579848,7588.643514869832,137668.2868667433,264051.3687868448,3108771.064942494,793545.5687388222,12697518.604227176,395041.25635152636,730590.4467011373
