utm,lon,lat,east,north
1C,-177,-76,500000.0,-8435185.36883611
1D,-177,-68,500000.0,-7542864.29720695
1E,-177,-60,500000.0,-6651411.190362714
1F,-177,-52,500000.0,-5761038.212590415
1G,-177,-44,500000.0,-4871872.840767047
1H,-177,-36,500000.0,-3983948.4533356656
1J,-177,-28,500000.0,-3097202.370688265
1K,-177,-20,500000.0,-2211481.307669964
1L,-177,-12,500000.0,-1326553.6358056443
1M,-177,-4,500000.0,-442127.3902531092
1N,-177,4,500000.0,442127.3902531092
1P,-177,12,500000.0,1326553.6358056443
1Q,-177,20,500000.0,2211481.307669964
1R,-177,28,500000.0,3097202.370688265
1S,-177,36,500000.0,3983948.4533356656
1T,-177,44,500000.0,4871872.840767047
1U,-177,52,500000.0,5761038.212590415
1V,-177,60,500000.0,6651411.190362714
1W,-177,68,500000.0,7542864.29720695
1X,-177,76,500000.0,8435185.36883611
2C,-171,-76,500000.0,-8435185.36883611
2D,-171,-68,500000.0,-7542864.29720695
2E,-171,-60,500000.0,-6651411.190362714
2F,-171,-52,500000.0,-5761038.212590415
2G,-171,-44,500000.0,-4871872.840767047
2H,-171,-36,500000.0,-3983948.4533356656
2J,-171,-28,500000.0,-3097202.370688265
2K,-171,-20,500000.0,-2211481.307669964
2L,-171,-12,500000.0,-1326553.6358056443
2M,-171,-4,500000.0,-442127.3902531092
2N,-171,4,500000.0,442127.3902531092
2P,-171,12,500000.0,1326553.6358056443
2Q,-171,20,500000.0,2211481.307669964
2R,-171,28,500000.0,3097202.370688265
2S,-171,36,500000.0,3983948.4533356656
2T,-171,44,500000.0,4871872.840767047
2U,-171,52,500000.0,5761038.212590415
2V,-171,60,500000.0,6651411.190362714
2W,-171,68,500000.0,7542864.29720695
2X,-171,76,500000.0,8435185.36883611
3C,-165,-76,500000.0,-8435185.36883611
3D,-165,-68,500000.0,-7542864.29720695
3E,-165,-60,500000.0,-6651411.190362714
3F,-165,-52,500000.0,-5761038.212590415
3G,-165,-44,500000.0,-4871872.840767047
3H,-165,-36,500000.0,-3983948.4533356656
3J,-165,-28,500000.0,-3097202.370688265
3K,-165,-20,500000.0,-2211481.307669964
3L,-165,-12,500000.0,-1326553.6358056443
3M,-165,-4,500000.0,-442127.3902531092
3N,-165,4,500000.0,442127.3902531092
3P,-165,12,500000.0,1326553.6358056443
3Q,-165,20,500000.0,2211481.307669964
3R,-165,28,500000.0,3097202.370688265
3S,-165,36,500000.0,3983948.4533356656
3T,-165,44,500000.0,4871872.840767047
3U,-165,52,500000.0,5761038.212590415
3V,-165,60,500000.0,6651411.190362714
3W,-165,68,500000.0,7542864.29720695
3X,-165,76,500000.0,8435185.36883611
4C,-159,-76,500000.0,-8435185.36883611
4D,-159,-68,500000.0,-7542864.29720695
4E,-159,-60,500000.0,-6651411.190362714
4F,-159,-52,500000.0,-5761038.212590415
4G,-159,-44,500000.0,-4871872.840767047
4H,-159,-36,500000.0,-3983948.4533356656
4J,-159,-28,500000.0,-3097202.370688265
4K,-159,-20,500000.0,-2211481.307669964
4L,-159,-12,500000.0,-1326553.6358056443
4M,-159,-4,500000.0,-442127.3902531092
4N,-159,4,500000.0,442127.3902531092
4P,-159,12,500000.0,1326553.6358056443
4Q,-159,20,500000.0,2211481.307669964
4R,-159,28,500000.0,3097202.370688265
4S,-159,36,500000.0,3983948.4533356656
4T,-159,44,500000.0,4871872.840767047
4U,-159,52,500000.0,5761038.212590415
4V,-159,60,500000.0,6651411.190362714
4W,-159,68,500000.0,7542864.29720695
4X,-159,76,500000.0,8435185.36883611
5C,-153,-76,500000.0,-8435185.36883611
5D,-153,-68,500000.0,-7542864.29720695
5E,-153,-60,500000.0,-6651411.190362714
5F,-153,-52,500000.0,-5761038.212590415
5G,-153,-44,500000.0,-4871872.840767047
5H,-153,-36,500000.0,-3983948.4533356656
5J,-153,-28,500000.0,-3097202.370688265
5K,-153,-20,500000.0,-2211481.307669964
5L,-153,-12,500000.0,-1326553.6358056443
5M,-153,-4,500000.0,-442127.3902531092
5N,-153,4,500000.0,442127.3902531092
5P,-153,12,500000.0,1326553.6358056443
5Q,-153,20,500000.0,2211481.307669964
5R,-153,28,500000.0,3097202.370688265
5S,-153,36,500000.0,3983948.4533356656
5T,-153,44,500000.0,4871872.840767047
5U,-153,52,500000.0,5761038.212590415
5V,-153,60,500000.0,6651411.190362714
5W,-153,68,500000.0,7542864.29720695
5X,-153,76,500000.0,8435185.36883611
6C,-147,-76,500000.0000000007,-8435185.36883611
6D,-147,-68,500000.00000000105,-7542864.29720695
6E,-147,-60,500000.0000000014,-6651411.190362714
6F,-147,-52,500000.00000000175,-5761038.212590415
6G,-147,-44,500000.00000000204,-4871872.840767047
6H,-147,-36,500000.00000000227,-3983948.4533356656
6J,-147,-28,500000.0000000025,-3097202.370688265
6K,-147,-20,500000.0000000027,-2211481.307669964
6L,-147,-12,500000.0000000028,-1326553.6358056443
6M,-147,-4,500000.00000000285,-442127.3902531092
6N,-147,4,500000.00000000285,442127.3902531092
6P,-147,12,500000.0000000028,1326553.6358056443
6Q,-147,20,500000.0000000027,2211481.307669964
6R,-147,28,500000.0000000025,3097202.370688265
6S,-147,36,500000.00000000227,3983948.4533356656
6T,-147,44,500000.00000000204,4871872.840767047
6U,-147,52,500000.00000000175,5761038.212590415
6V,-147,60,500000.0000000014,6651411.190362714
6W,-147,68,500000.00000000105,7542864.29720695
6X,-147,76,500000.0000000007,8435185.36883611
7C,-141,-76,499999.9999999993,-8435185.36883611
7D,-141,-68,499999.99999999895,-7542864.29720695
7E,-141,-60,499999.9999999986,-6651411.190362714
7F,-141,-52,499999.99999999825,-5761038.212590415
7G,-141,-44,499999.99999999796,-4871872.840767047
7H,-141,-36,499999.99999999773,-3983948.4533356656
7J,-141,-28,499999.9999999975,-3097202.370688265
7K,-141,-20,499999.9999999973,-2211481.307669964
7L,-141,-12,499999.9999999972,-1326553.6358056443
7M,-141,-4,499999.99999999715,-442127.3902531092
7N,-141,4,499999.99999999715,442127.3902531092
7P,-141,12,499999.9999999972,1326553.6358056443
7Q,-141,20,499999.9999999973,2211481.307669964
7R,-141,28,499999.9999999975,3097202.370688265
7S,-141,36,499999.99999999773,3983948.4533356656
7T,-141,44,499999.99999999796,4871872.840767047
7U,-141,52,499999.99999999825,5761038.212590415
7V,-141,60,499999.9999999986,6651411.190362714
7W,-141,68,499999.99999999895,7542864.29720695
7X,-141,76,499999.9999999993,8435185.36883611
8C,-135,-76,500000.0,-8435185.36883611
8D,-135,-68,500000.0,-7542864.29720695
8E,-135,-60,500000.0,-6651411.190362714
8F,-135,-52,500000.0,-5761038.212590415
8G,-135,-44,500000.0,-4871872.840767047
8H,-135,-36,500000.0,-3983948.4533356656
8J,-135,-28,500000.0,-3097202.370688265
8K,-135,-20,500000.0,-2211481.307669964
8L,-135,-12,500000.0,-1326553.6358056443
8M,-135,-4,500000.0,-442127.3902531092
8N,-135,4,500000.0,442127.3902531092
8P,-135,12,500000.0,1326553.6358056443
8Q,-135,20,500000.0,2211481.307669964
8R,-135,28,500000.0,3097202.370688265
8S,-135,36,500000.0,3983948.4533356656
8T,-135,44,500000.0,4871872.840767047
8U,-135,52,500000.0,5761038.212590415
8V,-135,60,500000.0,6651411.190362714
8W,-135,68,500000.0,7542864.29720695
8X,-135,76,500000.0,8435185.36883611
9C,-129,-76,500000.0,-8435185.36883611
9D,-129,-68,500000.0,-7542864.29720695
9E,-129,-60,500000.0,-6651411.190362714
9F,-129,-52,500000.0,-5761038.212590415
9G,-129,-44,500000.0,-4871872.840767047
